node_type,timestamp,power
gpu,1773950400000,121083.23186400006
gpu,1773954000000,124490.35133800001
gpu,1773957600000,110115.19717000004
gpu,1773961200000,127631.974635
gpu,1773964800000,133271.47474300003
gpu,1773968400000,125130.92998000002
gpu,1773972000000,128587.106321
gpu,1773975600000,129138.44939100002
gpu,1773979200000,111785.81477399998
gpu,1773982800000,122671.85967999998
gpu,1773986400000,122212.24335900003
gpu,1773990000000,125771.82665899998
gpu,1773993600000,122939.74362999997
gpu,1773997200000,119300.54437000005
gpu,1774000800000,120764.157676
gpu,1774004400000,114869.41204299997
gpu,1774008000000,121955.95227099997
gpu,1774011600000,114819.73884
gpu,1774015200000,114996.78128899998
gpu,1774018800000,123122.479575
gpu,1774022400000,110822.14866200004
gpu,1774026000000,113844.740205
gpu,1774029600000,123510.747961
gpu,1774033200000,112432.77236699998
gpu,1774036800000,117260.52802299999
gpu,1774040400000,121662.639058
gpu,1774044000000,116476.82600400002
gpu,1774047600000,105604.73841300001
gpu,1774051200000,122180.29995899998
gpu,1774054800000,109320.10720100002
gpu,1774058400000,121048.96834700005
gpu,1774062000000,116086.66962900001
gpu,1774065600000,112994.50183400004
gpu,1774069200000,115838.222504
gpu,1774072800000,101464.27668599998
gpu,1774076400000,112505.65935299994
gpu,1774080000000,89957.41580200005
gpu,1774083600000,116507.73584000001
gpu,1774087200000,108511.159864
gpu,1774090800000,107813.52930200001
gpu,1774094400000,102786.891684
gpu,1774098000000,110187.63872499997
gpu,1774101600000,111146.02663099999
gpu,1774105200000,107819.324003
gpu,1774108800000,105426.32219099998
gpu,1774112400000,110869.43274600002
gpu,1774116000000,106917.02620200004
gpu,1774119600000,103072.51595300002
gpu,1774123200000,108932.207154
gpu,1774126800000,115045.34837799997
gpu,1774130400000,94811.80613200003
gpu,1774134000000,110330.68785
gpu,1774137600000,106400.36497100005
gpu,1774141200000,108755.09838599998
gpu,1774144800000,105795.00279100004
gpu,1774148400000,102467.276105
gpu,1774152000000,111182.28818800004
gpu,1774155600000,113872.70287799998
gpu,1774159200000,110116.84498799995
gpu,1774162800000,104135.251949
gpu,1774166400000,103984.27391200005
gpu,1774170000000,115421.36870399995
gpu,1774173600000,108017.02949500001
gpu,1774177200000,106211.92091200002
gpu,1774180800000,107377.033871
gpu,1774184400000,101643.101978
gpu,1774188000000,90969.75885500002
gpu,1774191600000,111984.28390599997
gpu,1774195200000,108664.84851499995
gpu,1774198800000,106020.09961699999
gpu,1774202400000,94468.141403
gpu,1774206000000,113400.42329500002
gpu,1774209600000,101302.35943999996
gpu,1774213200000,97333.035405
gpu,1774216800000,105964.20690000003
gpu,1774220400000,106953.21470900002
gpu,1774224000000,115285.15569
gpu,1774227600000,90047.09939500003
gpu,1774231200000,112951.628691
gpu,1774234800000,115378.49427699998
gpu,1774238400000,108573.16572
gpu,1774242000000,109382.15217199997
gpu,1774245600000,108997.644238
gpu,1774249200000,97827.21584899997
gpu,1774252800000,104546.00991100002
gpu,1774256400000,109414.26291700001
gpu,1774260000000,106011.564715
gpu,1774263600000,104345.75233600002
gpu,1774267200000,112815.749155
gpu,1774270800000,114478.163975
gpu,1774274400000,110225.895377
gpu,1774278000000,109949.73702500001
gpu,1774281600000,112654.77673400006
gpu,1774285200000,114942.01954500008
gpu,1774288800000,114377.84052399997
gpu,1774292400000,112268.48514700001
gpu,1774296000000,116981.08203800004
gpu,1774299600000,110990.515279
gpu,1774303200000,122753.41881300003
gpu,1774306800000,121222.61762700001
gpu,1774310400000,125176.79726200002
gpu,1774314000000,122121.65723100005
gpu,1774317600000,113349.41567
gpu,1774321200000,124514.46664800003
gpu,1774324800000,122548.08054399998
gpu,1774328400000,121920.70940100003
gpu,1774332000000,125330.24428899994
gpu,1774335600000,117523.710773
gpu,1774339200000,123304.60132100002
gpu,1774342800000,112561.137355
gpu,1774346400000,117418.75813700004
gpu,1774350000000,121651.25558399997
gpu,1774353600000,115966.68819200002
gpu,1774357200000,124363.046664
gpu,1774360800000,122875.39418899998
gpu,1774364400000,124648.94729899999
gpu,1774368000000,118788.40254300002
gpu,1774371600000,127063.178718
gpu,1774375200000,123327.70397499998
gpu,1774378800000,126329.494756
gpu,1774382400000,119453.65008699997
gpu,1774386000000,110424.36447999993
gpu,1774389600000,122541.840126
gpu,1774393200000,125026.31021199998
gpu,1774396800000,128532.28126099995
gpu,1774400400000,129439.92451000003
gpu,1774404000000,122066.37094200005
gpu,1774407600000,129974.27722599998
gpu,1774411200000,131705.372705
gpu,1774414800000,120834.80575200004
gpu,1774418400000,125959.9607249999
gpu,1774422000000,127388.253098
gpu,1774425600000,123875.76703699997
gpu,1774429200000,123303.809117
gpu,1774432800000,126804.03366700001
gpu,1774436400000,111144.16868800002
gpu,1774440000000,112315.734935
gpu,1774443600000,119911.47189900001
gpu,1774447200000,107832.39968100002
gpu,1774450800000,123493.05929400002
gpu,1774454400000,115927.79455400004
gpu,1774458000000,131033.39286500003
gpu,1774461600000,118176.73776499995
gpu,1774465200000,117163.39876000007
gpu,1774468800000,123118.28054499996
gpu,1774472400000,126911.64039100005
gpu,1774476000000,130360.77947099993
gpu,1774479600000,126793.62991999999
gpu,1774483200000,128635.164688
gpu,1774486800000,126658.28002300003
gpu,1774490400000,124340.64889300002
gpu,1774494000000,107680.60975700003
gpu,1774497600000,129984.54041799998
gpu,1774501200000,131302.905072
gpu,1774504800000,110634.295396
gpu,1774508400000,124826.94408400002
gpu,1774512000000,115949.88253900003
gpu,1774515600000,124627.84418700001
gpu,1774519200000,123444.04300899999
gpu,1774522800000,111587.58470999995
gpu,1774526400000,113178.30787200005
gpu,1774530000000,123213.62233599996
gpu,1774533600000,120927.05454199995
gpu,1774537200000,118960.62197200005
gpu,1774540800000,129523.09187499997
gpu,1774544400000,134667.32073500004
gpu,1774548000000,134150.56901100004
gpu,1774551600000,131661.68606299997
gpu,1774555200000,131225.850843
gpu,1774558800000,124036.06159000001
gpu,1774562400000,133747.97477500004
gpu,1774566000000,124668.94012999994
gpu,1774569600000,121841.51518899997
gpu,1774573200000,120848.74070600001
gpu,1774576800000,124410.266402
gpu,1774580400000,128257.60796999998
gpu,1774584000000,137246.887595
gpu,1774587600000,119442.73617499995
gpu,1774591200000,124758.79262199996
gpu,1774594800000,121940.73376100001
gpu,1774598400000,112079.84921000001
gpu,1774602000000,121717.13630300004
gpu,1774605600000,119101.57022800004
gpu,1774609200000,112714.87001000003
gpu,1774612800000,116075.990833
gpu,1774616400000,109445.41143400002
gpu,1774620000000,119281.633852
gpu,1774623600000,116991.98587799999
gpu,1774627200000,118056.38573299997
gpu,1774630800000,122239.39415300002
gpu,1774634400000,121242.99542700003
gpu,1774638000000,118884.25401099997
gpu,1774641600000,117323.011343
gpu,1774645200000,128280.098767
gpu,1774648800000,128391.23474700002
gpu,1774652400000,128776.447832
gpu,1774656000000,128071.69054400001
gpu,1774659600000,134984.49762700003
gpu,1774663200000,141164.26955800006
gpu,1774666800000,126358.52328400002
gpu,1774670400000,129600.10891599995
gpu,1774674000000,131162.344938
gpu,1774677600000,133357.65644700002
gpu,1774681200000,119746.19985300004
gpu,1774684800000,119423.22234699996
gpu,1774688400000,120237.57675800005
gpu,1774692000000,109522.81676599999
gpu,1774695600000,110422.509787
gpu,1774699200000,113698.15104799999
gpu,1774702800000,114884.59344400007
gpu,1774706400000,102999.551617
gpu,1774710000000,96136.47439399996
gpu,1774713600000,112261.62153800004
gpu,1774717200000,122891.31543600002
gpu,1774720800000,117954.72554800002
gpu,1774724400000,115515.82527900003
gpu,1774728000000,115505.695286
gpu,1774731600000,113846.01605299998
gpu,1774735200000,104513.98497099997
gpu,1774738800000,105347.35707000001
gpu,1774742400000,111040.37377899997
gpu,1774746000000,108962.92619100006
gpu,1774749600000,114263.32470300003
gpu,1774753200000,103374.98627499997
gpu,1774756800000,110260.48863899999
gpu,1774760400000,111288.45433500009
gpu,1774764000000,110519.662652
gpu,1774767600000,107948.48125999999
gpu,1774771200000,112963.93260799997
gpu,1774774800000,102615.35984600002
gpu,1774778400000,98608.68111000003
gpu,1774782000000,103669.29913399999
gpu,1774785600000,107041.64562800003
gpu,1774789200000,109166.33978900006
gpu,1774792800000,106947.02898800002
gpu,1774796400000,110050.89673999997
gpu,1774800000000,112324.91900200001
gpu,1774803600000,94010.06302799998
gpu,1774807200000,98879.59688399998
gpu,1774810800000,105092.48912600003
gpu,1774814400000,104850.79572999997
gpu,1774818000000,110337.12348100002
gpu,1774821600000,99227.08070200004
gpu,1774825200000,105429.92485600003
gpu,1774828800000,93440.63258700001
gpu,1774832400000,108233.40173200004
gpu,1774836000000,107930.13434399999
gpu,1774839600000,103405.44047499997
gpu,1774843200000,106707.60471099998
gpu,1774846800000,110725.52644199997
gpu,1774850400000,100498.75707600002
gpu,1774854000000,108357.12433799997
gpu,1774857600000,113452.063278
gpu,1774861200000,106765.36026199994
gpu,1774864800000,112590.72548300007
gpu,1774868400000,110681.30802600004
gpu,1774872000000,103445.41126
gpu,1774875600000,113866.04681600003
gpu,1774879200000,122674.77700500001
gpu,1774882800000,117609.65892400002
gpu,1774886400000,122608.36846299995
gpu,1774890000000,123409.35509600004
gpu,1774893600000,117182.48526200002
gpu,1774897200000,117422.357966
gpu,1774900800000,124990.62423600003
gpu,1774904400000,121856.351622
gpu,1774908000000,113633.73258399998
gpu,1774911600000,122602.97506600001
gpu,1774915200000,125299.61993200003
gpu,1774918800000,119649.1409
gpu,1774922400000,120071.57431099999
gpu,1774926000000,127591.91710399995
gpu,1774929600000,125190.72998199998
gpu,1774933200000,120705.10359599999
gpu,1774936800000,120161.47885300002
gpu,1774940400000,130925.90646399999
gpu,1774944000000,124077.132389
gpu,1774947600000,118161.89475699997
gpu,1774951200000,126168.82444699998
gpu,1774954800000,111625.90137299997
gpu,1774958400000,117113.80936600003
gpu,1774962000000,122290.864579
gpu,1774965600000,126449.02078699993
gpu,1774969200000,122470.71377500003
gpu,1774972800000,116628.167487
gpu,1774976400000,107444.02658300001
gpu,1774980000000,139237.53495199993
gpu,1774983600000,133958.21437700003
gpu,1774987200000,134935.14915099996
gpu,1774990800000,132957.576727
gpu,1774994400000,133208.476951
