,time_start,time_end,id,energy,carbon/operational,carbon/embodied,carbon,sci
64,1771874270,1771955033,15394188,0.0001734744865714,88.9575378335214,1198.6547248627237,1287.6122626962183,0.9566212947223018
65,1771874240,1771954240,15394186,0.0001734753333613,88.09830667217167,1187.0778218737075,1275.1761285458506,0.9566212517223184
66,1771874210,1771955922,15394184,0.0001734722942552,89.94689921165154,1212.01268985005,1301.9595890616713,0.956619830317172
67,1771874210,1771955448,15394185,0.0001734707891333,89.41777728359942,1204.888441856809,1294.3062191403806,0.9566195263417449
68,1771874180,1771954329,15394183,0.000173471759096,88.2286253329044,1188.8588838720177,1277.0875092048962,0.9566198570823192
69,1771710866,1771874350,15394182,0.0001702422864959,176.66049973026685,7921.772778833499,8098.433278564243,2.972993127226227
70,1771605850,1771611041,15394181,0.0001724187631149,5.651065930903114,64.1917833755809,69.84284930648404,0.8121261547265586
71,1771605730,1771624248,15394180,0.0001725616700151,20.25644933200211,229.89615441487268,250.15260374687313,0.8121837783989387
72,1771605670,1771620602,15394179,0.0001723927538088,16.29559573904037,185.11118926911817,201.4067850081573,0.8121241330974085
73,1771605430,1771615418,15394178,0.0001719730959829,10.87943865097482,123.90507023658694,134.78450888756126,0.8119548728166341
74,1771605309,1771607910,15394177,0.0001720045812535,2.8182302285497407,32.09589168779045,34.91412191634018,0.8119563236358182
75,1771605249,1771609743,15394176,0.0001719584291903,4.8505327340326625,55.234790346430074,60.08532308046274,0.8119638254116587
76,1771605039,1771607672,15394175,0.0001719732619071,2.818868010500591,32.09589168779045,34.914759698291036,0.8119711557742101
77,1771604919,1771607516,15394174,0.0001720276480818,2.8206257035893416,32.09589168779045,34.916517391379784,0.8120120323576694
78,1771562615,1771630629,15394103,0.0001733545050049,74.83799725396976,1020.4595814850188,1095.2975787389714,0.9667233704668768
79,1771560335,1771611409,15394095,0.0001733470220584,56.209007326859506,766.470524133931,822.6795314607838,0.9667209535379364
80,1771560059,1771562925,15394092,0.000171980691146,3.0774535340254237,42.33150955851288,45.40896309253832,0.9661481509050708
81,1771559497,1771644212,15394090,0.0001733519115474,93.19862043394424,1270.8459571715523,1364.0445776054676,0.9667218834907636
82,1771559058,1771565538,15394173,0.0001719569172732,7.079086354162077,80.61293726235755,87.69202361651953,0.8119631816344401
83,1771557818,1771565323,15394170,0.000172373894629,8.212707894200697,93.30201072032132,101.51471861452175,0.812117748916174
84,1771557308,1771562611,15394169,0.0001724246752289,5.783775400216242,65.68461554710603,71.46839094732228,0.8121408062195713
